name,handle,platform,followerCount,email,profileUrl
Fluffy the Corgi,fluffy_corgi_love,instagram,45000,,https://instagram.com/fluffy_corgi_love
Max the Golden,maxgoldenretriever,instagram,32000,,https://instagram.com/maxgoldenretriever
Luna the Shiba,luna_shiba_inu,instagram,28000,,https://instagram.com/luna_shiba_inu
Bella the Border Collie,bella_bordercollie,instagram,52000,,https://instagram.com/bella_bordercollie
Charlie the Pomeranian,charlie_pom_pom,instagram,19000,,https://instagram.com/charlie_pom_pom
Daisy the Chihuahua,tiny_daisy_chi,instagram,15000,,https://instagram.com/tiny_daisy_chi
Cooper the Aussie,cooper_aussie_shepherd,instagram,38000,,https://instagram.com/cooper_aussie_shepherd
Milo the Corgi,milo_corgi_adventures,instagram,41000,,https://instagram.com/milo_corgi_adventures
Sophie the Golden,sophie_golden_girl,instagram,29000,,https://instagram.com/sophie_golden_girl
Oliver the Cat,oliver_the_tabby,instagram,22000,,https://instagram.com/oliver_the_tabby
Lily the Pomeranian,lily_pom_princess,instagram,17000,,https://instagram.com/lily_pom_princess
Rocky the Bulldog,rocky_bulldog_king,instagram,34000,,https://instagram.com/rocky_bulldog_king
Penny the Dachshund,penny_wiener_dog,instagram,26000,,https://instagram.com/penny_wiener_dog
Tucker the Lab,tucker_yellow_lab,instagram,31000,,https://instagram.com/tucker_yellow_lab
Sadie the Husky,sadie_husky_howls,instagram,48000,,https://instagram.com/sadie_husky_howls
Chloe the Poodle,chloe_toy_poodle,instagram,21000,,https://instagram.com/chloe_toy_poodle
Duke the German Shepherd,duke_gsd_alpha,instagram,55000,,https://instagram.com/duke_gsd_alpha
Stella the Beagle,stella_beagle_nose,instagram,24000,,https://instagram.com/stella_beagle_nose
Bear the Newfoundland,bear_newfie_giant,instagram,36000,,https://instagram.com/bear_newfie_giant
Zoe the Cat,zoe_calico_cat,instagram,18000,,https://instagram.com/zoe_calico_cat
Jack the Corgi,jack_corgi_butt,instagram,43000,,https://instagram.com/jack_corgi_butt
Molly the Cavalier,molly_cavalier_king,instagram,27000,,https://instagram.com/molly_cavalier_king
Bailey the Retriever,bailey_golden_smile,instagram,39000,,https://instagram.com/bailey_golden_smile
Lucy the Shih Tzu,lucy_shih_tzu_cutie,instagram,16000,,https://instagram.com/lucy_shih_tzu_cutie
Buddy the Boxer,buddy_boxer_boy,instagram,33000,,https://instagram.com/buddy_boxer_boy
Maggie the Collie,maggie_rough_collie,instagram,25000,,https://instagram.com/maggie_rough_collie
Toby the Frenchie,toby_frenchie_life,instagram,51000,,https://instagram.com/toby_frenchie_life
Rosie the Pug,rosie_pug_snorts,instagram,28000,,https://instagram.com/rosie_pug_snorts
Sam the Samoyed,sam_samoyed_cloud,instagram,46000,,https://instagram.com/sam_samoyed_cloud
Ginger the Cat,ginger_orange_cat,instagram,20000,,https://instagram.com/ginger_orange_cat
