Partner ID,Partner Name,Category,Contact Name,Contact Email,Contact Title,Website,Instagram,Priority,Status,Date First Contacted,Date Follow-up 1,Date Follow-up 2,Date Last Contact,Next Action,Next Action Date,Response Received,Call Scheduled,Call Date,Partnership Agreement,Agreement Date,Commission Rate,Expected Monthly Orders,Notes,Last Updated
PB001,BarkBox,Pet Brand,,,partnerships@barkbox.com,https://www.barkbox.com,@barkbox,High,Not Contacted,,,,,Initial Email,,No,No,,,,,15-25,Major player - focus on gift angle,2026-03-18
PB002,Chewy Creators,Pet Brand,,,influencers@chewy.com,https://www.chewy.com/creators,@chewy,High,Not Contacted,,,,,Initial Email,,No,No,,,,,20-30,Creator network opportunity,2026-03-18
PB003,Petco,Pet Brand,,,partnerships@petco.com,https://www.petco.com,@petco,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,10-20,In-store flyer displays,2026-03-18
PB004,PetSmart,Pet Brand,,,corporate@petsmart.com,https://www.petsmart.com,@petsmart,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,10-20,Target grooming centers,2026-03-18
PB005,The Farmer's Dog,Pet Brand,,,hello@thefarmersdog.com,https://www.thefarmersdog.com,@thefarmersdog,High,Not Contacted,,,,,Initial Email,,No,No,,,,,12-18,Premium brand - perfect demo match,2026-03-18
PB006,Ollie,Pet Brand,,,partnerships@myollie.com,https://www.myollie.com,@ollie,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,Premium pet food - affluent customers,2026-03-18
PB007,Nom Nom,Pet Brand,,,support@nomnomnow.com,https://www.nomnomnow.com,@nomnomnow,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Subscription box inserts,2026-03-18
PB008,Wild One,Pet Brand,,,hello@wildone.com,https://wildone.com,@wildone,High,Not Contacted,,,,,Initial Email,,No,No,,,,,8-15,Design-forward - aesthetic match,2026-03-18
PB009,Maxbone,Pet Brand,,,info@maxbone.com,https://maxbone.com,@maxbone,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-10,Luxury brand positioning,2026-03-18
PB010,Bullymake,Pet Brand,,,support@bullymake.com,https://bullymake.com,@bullymake,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Strong breed niche,2026-03-18
PB011,PupBox,Pet Brand,,,support@pupbox.com,https://www.pupbox.com,@pupbox,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,New puppy parents - emotional connection,2026-03-18
PB012,FitBark,Pet Brand,,,info@fitbark.com,https://www.fitbark.com,@fitbark,Low,Not Contacted,,,,,Initial Email,,No,No,,,,,5-8,Tech-savvy pet owners,2026-03-18
PB013,Embark Vet,Pet Brand,,,support@embarkvet.com,https://embarkvet.com,@embarkvet,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,DNA + breed portrait synergy,2026-03-18
PB014,Petcube,Pet Brand,,,support@petcube.com,https://petcube.com,@petcube,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Use camera photos for portraits,2026-03-18
PB015,Rover,Pet Brand,,,partnerships@rover.com,https://www.rover.com,@rover,High,Not Contacted,,,,,Initial Email,,No,No,,,,,15-20,Huge network - sitter angle,2026-03-18
PB016,Wag!,Pet Brand,,,support@wagwalking.com,https://wagwalking.com,@wagwalking,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,Professional dog walker market,2026-03-18
PB017,PetPlate,Pet Brand,,,hello@petplate.com,https://www.petplate.com,@petplate,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-10,Delivery box inserts,2026-03-18
PB018,Lemonade Pet Insurance,Pet Brand,,,support@lemonade.com,https://www.lemonade.com/pet,@lemonade_inc,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,New policy welcome gift,2026-03-18
PB019,Paw.com,Pet Brand,,,info@paw.com,https://www.paw.com,@pawdotcom,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Curated marketplace - credibility,2026-03-18
PB020,West Paw,Pet Brand,,,info@westpaw.com,https://www.westpaw.com,@westpaw,Low,Not Contacted,,,,,Initial Email,,No,No,,,,,5-10,Eco-friendly brand,2026-03-18
VC001,Banfield Pet Hospital,Veterinary Clinic,,,corporate@banfield.com,https://www.banfield.com,@banfield,High,Not Contacted,,,,,Initial Email,,No,No,,,,,15-25,Largest vet chain - memorial focus,2026-03-18
VC002,VCA Animal Hospitals,Veterinary Clinic,,,corporate@vca.com,https://vcahospitals.com,@vcahospitals,High,Not Contacted,,,,,Initial Email,,No,No,,,,,12-20,Second largest - grief programs,2026-03-18
VC003,BluePearl Pet Hospital,Veterinary Clinic,,,info@bluepearlvet.com,https://bluepearlvet.com,@bluepearlvet,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,Emergency care - memorial angle,2026-03-18
VC004,Lap of Love Veterinary Hospice,Veterinary Clinic,,,info@lapoflove.com,https://www.lapoflove.com,@lapoflove,Very High,Not Contacted,,,,,Initial Email,,No,No,,,,,15-20,PERFECT FIT - end-of-life care,2026-03-18
VC005,Bond Vet,Veterinary Clinic,,,hello@bondvet.com,https://bondvet.com,@bond_vet,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-10,Modern NYC clinics,2026-03-18
VC006,Small Door Veterinary,Veterinary Clinic,,,hello@smalldoorvet.com,https://www.smalldoorvet.com,@smalldoorvet,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Membership model - ongoing relationship,2026-03-18
VC007,Heart + Paw,Veterinary Clinic,,,info@heartandpaw.com,https://heartandpaw.com,@heartandpaw,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-8,Regional PA/NJ chain,2026-03-18
VC008,Portland Vet Emergency,Veterinary Clinic,,,info@pvesc.com,https://www.pvesc.com,,Low,Not Contacted,,,,,Initial Email,,No,No,,,,,3-5,Local template example,2026-03-18
VC009,The Village Vets,Veterinary Clinic,,,info@thevillagevets.com,https://www.thevillagevets.com,@thevillagevets,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-8,Atlanta regional chain,2026-03-18
VC010,ASPCA Animal Hospital,Veterinary Clinic,,,development@aspca.org,https://www.aspca.org,@aspca,High,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Non-profit - cause marketing,2026-03-18
VC011,Best Friends Animal Society,Veterinary Clinic,,,info@bestfriends.org,https://bestfriends.org,@bestfriendsanimalsociety,High,Not Contacted,,,,,Initial Email,,No,No,,,,,10-15,Adoption special - new pet angle,2026-03-18
VC012,Petco Vet Hospitals,Veterinary Clinic,,,vethospitals@petco.com,https://www.petco.com/vet,,,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Leverage Petco partnership,2026-03-18
VC013,PetSmart Veterinary Services,Veterinary Clinic,,,vetservices@petsmart.com,https://www.petsmart.com/vet,,,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,In-store vet locations,2026-03-18
VC014,Veterinary Cancer Group,Veterinary Clinic,,,info@veterinarycancergroup.com,https://www.veterinarycancergroup.com,,,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,5-8,Oncology - memorial focus,2026-03-18
VC015,PAWS Seattle,Veterinary Clinic,,,info@paws.org,https://www.paws.org,@pawsseattle,Medium,Not Contacted,,,,,Initial Email,,No,No,,,,,8-12,Shelter adoption angle,2026-03-18
