Date,Day,Slot,Post ID,Platform,Hook,Image Used,Video Template,Trending Audio,Views 24h,Likes 24h,Comments 24h,Shares 24h,Saves 24h,Engagement Rate %,Profile Visits,Link Clicks,Website Visits,Add to Cart,Purchases,Revenue,Performance Category,Boosted,Ad Spend,ROAS,Notes
2026-03-19,1,morning,20260319_morning,TikTok,POV: Your dog becomes a Renaissance painting for $9,border_collie_portrait_2048x2048.webp,template_1_before_after_split,emotional_piano_v3,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-19,1,evening,20260319_evening,TikTok,I turned my chihuahua into a $10K oil painting,chihuahua_portrait_square_2048.jpg,template_2_zoom_reveal,trending_dance_beat_1,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-20,2,morning,20260320_morning,TikTok,Big eyes tiny brain 100% adorable,alfie_portrait_final.webp,template_2_zoom_reveal,cute_uwu_sound,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-20,2,evening,20260320_evening,TikTok,From real dog to Pixar character in 24 hours,shiba_portrait_final_2048x2048.webp,template_1_before_after_split,epic_transformation_music,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-21,3,morning,20260321_morning,TikTok,Stop-motion vibes but it's your actual dog,pomeranian_portrait_final.webp,template_3_rotation_3d,lo_fi_chill_beat,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-21,3,evening,20260321_evening,TikTok,If Wallace & Gromit made dog portraits,shiba_inu_felt_portrait_2048x2048.webp,template_1_before_after_split,claymation_quirky_music,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-22,4,morning,20260322_morning,TikTok,Your cat but make it Girl with a Pearl Earring,cat_vermeer.webp,template_4_museum_wall,classical_dramatic_orchestra,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-22,4,evening,20260322_evening,TikTok,I hung my dog in the Louvre (digitally),alfie_imperial_portrait_2048x2048.webp,template_4_museum_wall,traditional_chinese_flute,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-23,5,morning,20260323_morning,TikTok,Turning every dog in my camera roll into art,golden_retriever_portrait_square.webp,template_3_fast_montage,motivational_montage_beat,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-23,5,evening,20260323_evening,TikTok,POV: You finally found affordable custom pet art,shiba_inu_vinyl_toy_portrait_final.webp,template_6_reaction_style,relief_happy_sound,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-24,6,morning,20260324_morning,TikTok,Best $9 gift for dog moms (trust me),white_pomeranian_portrait_final.webp,template_2_zoom_reveal,wholesome_gift_music,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-24,6,evening,20260324_evening,TikTok,Made my friend cry with this $9 gift,border_collie_portrait_2048x2048.webp,template_6_reaction_style,emotional_piano_tribute,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-25,7,morning,20260325_morning,TikTok,Your dog as a Pokemon sprite,chihuahua_portrait_16x9.webp,template_5_gameboy_screen,chiptune_retro_music,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
2026-03-25,7,evening,20260325_evening,TikTok,90s kids when they see this style,chihuahua_portrait_16x9.webp,template_5_gameboy_screen,90s_nostalgia_sound,0,0,0,0,0,0,0,0,0,0,0,0,baseline,no,0,0,
